,Criteria 1,Criteria 2,Criteria 3,Criteria 4,Criteria 5,Criteria 6,Criteria 7,Criteria 8,Criteria 9,Criteria 10,Criteria 11,Criteria 12,Criteria 13
Canada,0.02644863976487181,0.48573447704694744,0.35416878664966456,0.3497655820829149,0.35330305392620964,0.3373506431580775,0.3922322702763681,0.16705381391691138,0.2773500981126145,0.3773300889154152,0.4177408093237749,0.11789421975303893,0.5620415696345102
France,0.02397765957922635,0.20722039650555402,-0.037306424859130195,0.42490041082665214,0.3912839403272432,0.34650488171613586,0.3922322702763681,0.38979223247279315,0.4622501635210242,0.3829770088953465,0.5464129274522158,0.11423290858058431,0.27706274559447686
Germany,0.018029003576746527,0.231396109431202,0.3992271958951075,0.4767175340981951,0.3912839403272432,0.36650858819485604,0.29417420270727607,0.36194993015330795,0.4622501635210242,0.3711522619288236,0.17446675917773863,0.205033425657459,0.3237676084232601
Italy,0.007870529480204069,0.08683521377375597,0.1787801399093382,0.3938101368637264,0.33988852809095105,0.3982658849209598,0.19611613513818404,0.4176345347922784,0.4622501635210242,0.34373815467582336,0.17090041944472473,0.1230200553944754,0.06491184325356314
Japan,0.008511153972778818,0.05254517197105119,0.3178313598388235,0.3912192807001493,0.3479695677507454,0.36549145057729404,0.29417420270727607,0.38979223247279315,0.3698001308168194,0.3656018704955577,0.3812967207087972,0.20430116342296809,0.12665725512890372
United Kingdom,0.04136603866339812,0.5417333222930912,0.3919597105329393,0.30313017113852625,0.43071941386703966,0.3677517563940986,0.4902903378454601,0.33410762783382275,0.3698001308168194,0.38070858804870744,0.2551973352235752,0.19404949214009512,0.4749647067333889
United States,0.9982759950007671,0.6031593684000947,0.6535891835709952,0.264267328684869,0.38320290066744883,0.4520611633609079,0.4902903378454601,0.5011614417507341,0.09245003270420485,0.4200439708148962,0.5067218728116584,0.9145955308791653,0.5066290205156149
